"lCompanyID","CompanyName","StreetAddress","Trifecta","ShopStatus","strInstallationKey","TenantID","ExternalID","SMS","lCommunityID"
C870ED0C-6620-4CB4-875E-675389B6DB95,Advance Engines & Trans,4801 NE 8th Ave,Invomax_NG-UD-25351,Active,0A9B141A-D0E6-4115-AF0C-D66C9FFE464B,,25351,Invomax_NG,UD
C870ED0C-6620-4CB4-875E-675389B6DB95,Advance Engines & Trans,4801 NE 8th Ave,Invomax_NG-UD-7025351,Active,0A9B141A-D0E6-4115-AF0C-D66C9FFE464B,,7025351,Invomax_NG,UD
C8735B4D-59C2-455B-8908-E3AE76696163,Valley Auto Care,7125 151st St W,ROWriter-UD-13255,Offline,C9CB9DFA-75D0-4F33-A0BC-B3934213B3FA,,13255,ROWriter,UD
C8735B4D-59C2-455B-8908-E3AE76696163,Valley Auto Care,7125 151st St W,ROWriter-UD-7013255,Offline,C9CB9DFA-75D0-4F33-A0BC-B3934213B3FA,,7013255,ROWriter,UD
C875C563-905C-429A-813E-3C829199E1B7,Fine Tune Repair Service,17546 Chicago Ave,Pace-Throttle-7082072,Active,04456C7F-D6F1-4D7C-83C0-F18D9CC73C2B,,7082072,Pace,Throttle
C875C563-905C-429A-813E-3C829199E1B7,Fine Tune Repair Service,17546 Chicago Ave,Pace-Throttle-82072,Active,04456C7F-D6F1-4D7C-83C0-F18D9CC73C2B,,82072,Pace,Throttle
C87943D3-501D-4F00-97CB-A079C8F5B30C,TJ auto repair,12822 Fitzwater Dr,Invomax_NG-UD-7079885,Active,1BB760A6-E6F5-4E9E-BEE5-3446B8A8AE50,,7079885,Invomax_NG,UD
C87943D3-501D-4F00-97CB-A079C8F5B30C,TJ auto repair,12822 Fitzwater Dr,Invomax_NG-UD-79885,Active,1BB760A6-E6F5-4E9E-BEE5-3446B8A8AE50,,79885,Invomax_NG,UD
C87CE83A-6939-4124-8686-3A663C599BD3,Norcross,4810 Peachtree Industrial Blvd,ROWriter-UD-38311,Offline,5476F94E-A9F0-4C50-A043-5A4C07893B1A,,38311,ROWriter,UD
C87CE83A-6939-4124-8686-3A663C599BD3,Norcross,4810 Peachtree Industrial Blvd,ROWriter-UD-7038311,Offline,5476F94E-A9F0-4C50-A043-5A4C07893B1A,,7038311,ROWriter,UD
C885FCA8-9BA2-43D7-9BD5-458D732B48C7,Randys Tire and Auto Center,324 W Main St,ROWriter-UD-17272,Offline,8ED00EF8-15B0-4BA5-9187-D14662D89FD9,,17272,ROWriter,UD
C885FCA8-9BA2-43D7-9BD5-458D732B48C7,Randys Tire and Auto Center,324 W Main St,ROWriter-UD-7017272,Offline,8ED00EF8-15B0-4BA5-9187-D14662D89FD9,,7017272,ROWriter,UD
C891CAD9-6C3C-4B16-8993-CFF73308E96E,Az Auto Air,6948 W Chandler Blvd Ste 2,ManagerSE-UD-14569,Offline,B5557B4E-E5D4-431C-AB42-3302BC552E22,,14569,ManagerSE,UD
C891CAD9-6C3C-4B16-8993-CFF73308E96E,Az Auto Air,6948 W Chandler Blvd Ste 2,ManagerSE-UD-7014569,Offline,B5557B4E-E5D4-431C-AB42-3302BC552E22,,7014569,ManagerSE,UD
C89D19AD-3E9C-429E-A542-0A8F13157764,OttoStadt - Atelier Mécanique Automobile - Car Garage Gatineau,34 Avenue Gatineau,Shopware-Carfax-2018-1831,Active,5C873EB8-88F5-4529-8BD4-E07A32E300AC,2018,1831,Shopware,Carfax
C89DE4AC-8730-4F78-92DE-9631915D71BA,BUBBAWOOD AUTO CENTER,9050 Highway 603,NapaTracs-UD-63086,Active,9C26787C-E68F-4EE0-9045-1EFE82F11852,,63086,NapaTracs,UD
C89DE4AC-8730-4F78-92DE-9631915D71BA,BUBBAWOOD AUTO CENTER,9050 Highway 603,NapaTracs-UD-7063086,Active,9C26787C-E68F-4EE0-9045-1EFE82F11852,,7063086,NapaTracs,UD
